database	table	field	mixs_term
gold	biosample	altitude	alt
gold	biosample	salinity_concentration	salinity
gold	biosample	oxygen_concentration	diss_oxygen
gold	biosample	geographic_location	geo_loc_name
gold	biosample	nitrate_concentration	nitrate
gold	biosample	chlorophyll_concentration	chlorophyll
gold	biosample	soil_curr_land_use	cur_land_use
gold	biosample	soil_curr_vegitation	cur_vegetation
gold	biosample	soil_curr_vegitation_method	cur_vegetation_meth
gold	biosample	soil_prev_land_use	previous_land_use
gold	biosample	soil_prev_land_use_meth	previous_land_use_meth
gold	biosample	soil_crop_rotation	crop_rotation
gold	biosample	soil_agrochem_addition	agrochem_addition
gold	biosample	soil_tillage	tillage
gold	biosample	soil_fire	fire
gold	biosample	soil_flooding	flooding
gold	biosample	soil_extreme_event	extreme_event
gold	biosample	soil_horizon	horizon
gold	biosample	soil_horizon_method	horizon_meth
gold	biosample	soil_seiving	sieving
gold	biosample	soil_water_content	water_content
gold	biosample	soil_water_content_soil_meth	water_content_soil_meth
gold	biosample	sample_weight_dna_ext	samp_vol_we_dna_ext
gold	biosample	soil_pool_dna_extracts	pool_dna_extracts
gold	biosample	soil_store_condition	store_cond
gold	biosample	soil_link_climate_info	link_climate_info
gold	biosample	soil_annual_season_temp	season_temp
gold	biosample	soil_annual_season_temp	annual_temp
gold	biosample	soil_annual_season_precpt	season_precpt
gold	biosample	soil_annual_season_precpt	annual_precpt
gold	biosample	soil_link_class_info	link_class_info
gold	biosample	soil_fao_class	fao_class
gold	biosample	soil_local_class	local_class
gold	biosample	soil_local_class_method	local_class_meth
gold	biosample	soil_type	soil_type
gold	biosample	soil_type_method	soil_type_meth
gold	biosample	soil_slope_gradient	slope_gradient
gold	biosample	soil_slope_aspect	slope_aspect
gold	biosample	soil_profile_position	profile_position
gold	biosample	soil_drainage_class	drainage_class
gold	biosample	soil_texture	texture
gold	biosample	soil_texture_method	texture_meth
gold	biosample	soil_ph_method	ph_meth
gold	biosample	tot_org_carbon	tot_org_carb
gold	biosample	soil_tot_org_c_method	tot_org_c_meth
gold	biosample	tot_nitrogen	tot_nitro_content
gold	biosample	soil_tot_n_method	tot_nitro_content_meth
gold	biosample	soil_microbial_biomass	microbial_biomass
gold	biosample	soil_microbial_biomass_method	microbial_biomass_meth
gold	biosample	soil_link_addit_analys	link_addit_analys
gold	biosample	soil_salinity_method	salinity_meth
gold	biosample	soil_heavy_metals	heavy_metals
gold	biosample	soil_heavy_metals_method	heavy_metals_meth
gold	biosample	soil_aluminum_sat	al_sat
gold	biosample	soil_aluminum_sat_method	al_sat_meth
gold	biosample	soil_misc_param	misc_param
