Type	JGI ID	GOLD Study	DOI	EMSL UP#	Title	PI Name	PM	Organism	EMSL Data	Notes	JGI list	Priority
EMSL 2014	1472	Gs0110115	10.25585/1487760	48086	Mapping soil carbon from cradle to grave: using comparative transcriptomics, proteomics and metabolite analysis to identify the microbial blueprint for root-enhanced decomposition of organic matter.	Firestone, Mary	Tijana Glavina del Rio	Soil Microbiome	Proteomics	metagenome not well-matched to proteome samples; generated a huge amount of data that was hard to analyze without a matching metagenome	X	1
EMSL 2014	1393	Gs0110132	10.25585/1487758	48099	FECB: A Functional Encyclopedia of Cyanobacteria	Hess, Matthias	Tijana Glavina del Rio	Photosynthetic mixed cultures	Proteomics and Metabolomics	JGI metagenomes for FECB_21, FECB_24, and FECB_27	X	1
EMSL 2015	1778	Gs0112340	10.25585/1487764	48467	Systems-level insights into carbon transformations in thawing permafrost by parallel high-resolution organic matter and microbial community characterizations	Rich, Virginia	Tijana Glavina del Rio	Permafrost Microbial Communities	Proteomics, FTICR 	metagenome not well-matched to proteome samples, thus low coverage	X	1
EMSL 2015	1777	Gs0114675	10.25585/1487763	48483	Microbial controls on biogeochemical cycling in deep subsurface shale carbon reservoirs	Wrighton, Kelly	Nicole Shapiro	Microbial Enrichments and Pure Cultures	Proteomics and Metabolomics (NMR)	Single organism data: Halanaerobium_congolense	X	1
EMSL 2017	503143	Gs0128849	10.25585/1488217	49521	Something old, something new: systems-level insights into plant-microbial-permafrost carbon dynamics by parallel high-resolution organic matter and microbial meta-omics.	Rich, Virginia	Tijana Glavina del Rio	Permafrost Microbial Communities	Proteins, Metabolites Lipids and FTICR	metagenome not well-matched to proteome samples, thus low coverage	X	1
EMSL 2017	503125	Gs0130354	10.25585/1488215	49483	Molecular mechanisms underlying changes in the temperature sensitive respiration response of forest soils to long-term experimental warming	Blanchard, Jeffrey	Miranda Harmon-Smith	Forest Soil Communities	DOC measurements on FTICR and Orbitrap	Harvard_Soil_Microbiome_Blanchard	X	1
EMSL 2015	1782	Gs0114298	10.25585/1487766	48484	Decoding DOM degradation: how does carbon source and sunlight exposure alter microbial metabolism and expression of genome-encoded metabolic degradation of permafrost organic matter?	Crump, Byron	Tijana Glavina del Rio	Permafrost soil and water DOC	DOC measurements on FTICR and Orbitrap		X	2
EMSL 2015	1781	Gs0114663	10.25585/1487765	48473	Coupling Microbial Communities to Carbon and Contaminant Biogeochemistry in the Groundwater-Surface Water Interaction Zone	Stegen, James	Tijana Glavina del Rio	Soil Associated Ground Water	Proteomics, FTICR, Metabolomics	low coverage	X	2
EMSL 2015	1780	Gs0120351	10.25585/1488205	48462	Integrated biogeochemical modeling of microbial consortia mediating anaerobic oxidation of methane in dynamic methane hydrate-bearing sediments	Colwell, Frederick	Tijana Glavina del Rio	Microbial Consortia from Sediments	Lipids, FTICR Metabolites		X	2
EMSL 2016	2586	Gs0134277	10.25585/1488209	49017	A Rhizosphere-Scale Investigation of the Relationship Between Plant Productivity and Methane Emissions from Wetlands	Neumann, Rebecca	Tijana Glavina del Rio	Plant Associated Microbial Communities	FTICR and Lipids		X	2
EMSL 2016	2581	Gs0133461	10.25585/1488208	49001	Fluorescence-based cell sorting and targeted proteomic analysis of active methane-oxidizing syntrophic consortia from environmental samples	Orphan, Victoria	Miranda Harmon-Smith	Methane- oxidizing syntrophic consortia 	Proteomics	Methanosarcina_acetivorans_C2A	X	2
