Dataset ID	sample_name	GOLD Biosample ID
404590	FECB-21_BG11	Gb0095970
404522	FECB-21_BG11	Gb0095970
404510	FECB-21_BG11	Gb0095970
404577	FECB-21_BG11	Gb0095970
404531	FECB-21_BG11	Gb0095970
404518	FECB-21_BG11	Gb0095970
404433	FECB-21_BG11	Gb0095970
404445	FECB-21_BG11	Gb0095970
404514	FECB-21_BG11	Gb0095970
404535	FECB-21_BG11	Gb0095970
404418	FECB-21_BG11	Gb0095970
404422	FECB-21_BG11	Gb0095970
404352	FECB-21_BG11	Gb0095970
404365	FECB-21_BG11	Gb0095970
404390	FECB-21_BG11	Gb0095970
367262	FECB-21_BG11	Gb0095970
367259	FECB-21_BG11	Gb0095970
367505	FECB-22_BG11	Gb0095971
367504	FECB-22_BG11	Gb0095971
404637	FECB-24_BG11	Gb0095972
404602	FECB-24_BG11	Gb0095972
405162	FECB-24_BG11	Gb0095972
404646	FECB-24_BG11	Gb0095972
404769	FECB-24_BG11	Gb0095972
404669	FECB-24_BG11	Gb0095972
404757	FECB-24_BG11	Gb0095972
405192	FECB-24_BG11	Gb0095972
404616	FECB-24_BG11	Gb0095972
404799	FECB-24_BG11	Gb0095972
404816	FECB-24_BG11	Gb0095972
404789	FECB-24_BG11	Gb0095972
404779	FECB-24_BG11	Gb0095972
404321	FECB-24_BG11	Gb0095972
404359	FECB-24_BG11	Gb0095972
404386	FECB-24_BG11	Gb0095972
367506	FECB-24_BG11	Gb0095972
367260	FECB-24_BG11	Gb0095972
404241	FECB-27 Dark_D	Gb0095966
404254	FECB-27 Dark_D	Gb0095966
404305	FECB-27 Dark_D	Gb0095966
404227	FECB-27 Dark_ND	Gb0095967
404248	FECB-27 Dark_ND	Gb0095967
404311	FECB-27 Dark_ND	Gb0095967
404232	FECB-27 Light_D	Gb0095968
404266	FECB-27 Light_D	Gb0095968
404276	FECB-27 Light_D	Gb0095968
404237	FECB-27 Light_ND	Gb0095969
404259	FECB-27 Light_ND	Gb0095969
404270	FECB-27 Light_ND	Gb0095969
405262	FECB-27_D	Gb0095973
405278	FECB-27_D	Gb0095973
405200	FECB-27_D	Gb0095973
405204	FECB-27_D	Gb0095973
405274	FECB-27_D	Gb0095973
405255	FECB-27_D	Gb0095973
405266	FECB-27_D	Gb0095973
405251	FECB-27_D	Gb0095973
405259	FECB-27_D	Gb0095973
405270	FECB-27_D	Gb0095973
405196	FECB-27_D	Gb0095973
405228	FECB-27_D	Gb0095973
404347	FECB-27_D	Gb0095973
404372	FECB-27_D	Gb0095973
404379	FECB-27_D	Gb0095973
405287	FECB-27_D	Gb0095973
405299	FECB-27_D	Gb0095973
405307	FECB-27_D	Gb0095973
405330	FECB-27_D	Gb0095973
405285	FECB-27_D	Gb0095973
405342	FECB-27_D	Gb0095973
405311	FECB-27_D	Gb0095973
405313	FECB-27_D	Gb0095973
405309	FECB-27_D	Gb0095973
405346	FECB-27_D	Gb0095973
405282	FECB-27_D	Gb0095973
405315	FECB-27_D	Gb0095973
367261	FECB-27_D	Gb0095973
367258	FECB-27_D	Gb0095973
500097	GW-RW S2_20_30	Gb0126424
500094	GW-RW N3_10_20	Gb0126425
500162	GW-RW N1_20_30	Gb0126426
500837	GW-RW N3_40_50	Gb0126427
500166	GW-RW S1_40_50	Gb0126428
500093	GW-RW S3_0_10	Gb0126429
500835	GW-RW S3_10_20	Gb0126430
500829	GW-RW N3_30_40	Gb0126431
500160	GW-RW S1_20_30	Gb0126432
500095	GW-RW S3_40_50	Gb0126433
501132	GW-RW S1_30_40	Gb0126434
500088	GW-RW N2_50_60	Gb0126435
500101	GW-RW N1_10_20	Gb0126436
500836	GW-RW N2_30_40	Gb0126437
500164	GW-RW S1_0_10	Gb0126438
501128	GW-RW N2_40_50	Gb0126439
500102	GW-RW N1_30_40	Gb0126440
500098	GW-RW N3_50_60	Gb0126441
500096	GW-RW S1_10_20	Gb0126442
500831	GW-RW N2_0_30	Gb0126443
500163	GW-RW N1_0_10	Gb0126444
500830	GW-RW S3_30_40	Gb0126445
500165	GW-RW N1_40_50	Gb0126446
500099	GW-RW N3_0_10	Gb0126447
500090	GW-RW S2_10_20	Gb0126448
500103	GW-RW S1_50_60	Gb0126449
501138	GW-RW S2_50_60	Gb0126450
500832	GW-RW N1_50_60	Gb0126451
500091	GW-RW N3_20_30	Gb0126452
500833	GW-RW S3_50_60	Gb0126453
500834	GW-RW S2_0_10	Gb0126454
500100	GW-RW S2_40_50	Gb0126455
500161	GW-RW S3_20_30	Gb0126456
500167	GW-RW S2_30_40	Gb0126457
